72.0, 340.0
73.0, 368.0
101.0, 367.0
101.0, 340.0
129.0, 455.0
125.0, 497.0
172.0, 495.0
170.0, 457.0
179.0, 287.0
177.0, 320.0
217.0, 318.0
217.0, 285.0
252.0, 408.0
250.0, 438.0
294.0, 441.0
293.0, 407.0
423.0, 483.0
424.0, 516.0
449.0, 517.0
447.0, 482.0
598.0, 414.0
594.0, 439.0
623.0, 443.0
619.0, 406.0
676.0, 530.0
677.0, 570.0
718.0, 571.0
716.0, 530.0
650.0, 212.0
654.0, 243.0
695.0, 240.0
695.0, 208.0
723.0, 77.0
724.0, 115.0
747.0, 119.0
744.0, 80.0
427.0, 129.0
426.0, 189.0
540.0, 192.0
540.0, 131.0
180.0, 132.0
182.0, 167.0
223.0, 172.0
220.0, 134.0
629.0, 1.0
623.0, 41.0
2.0, 31.0
2.0, 1.0
28.0, 1.0
23.0, 595.0
2.0, 595.0
2.0, 1.0
3.0, 574.0
794.0, 575.0
796.0, 595.0
3.0, 596.0
722.0, 2.0
719.0, 32.0
798.0, 38.0
797.0, 2.0
771.0, 0.0
773.0, 597.0
797.0, 596.0
796.0, 1.0
351.0, 293.0
373.0, 294.0
352.0, 247.0
367.0, 252.0
327.0, 331.0
328.0, 365.0
375.0, 369.0
371.0, 330.0
476.0, 310.0
476.0, 346.0
525.0, 345.0
523.0, 309.0
